248151,AA Batteries (4-pack),4,3.84,09/17/19 14:44,"380 North St, Los Angeles, CA 90001",Month
248152.0,USB-C Charging Cable,2.0,11.95,09/29/19 10:19,"511 8th St, Austin, TX 73301",September
248153.0,USB-C Charging Cable,1.0,11.95,09/16/19 17:48,"151 Johnson St, Los Angeles, CA 90001",September
248154.0,27in FHD Monitor,1.0,149.99,09/27/19 07:52,"355 Hickory St, Seattle, WA 98101",September
248155.0,USB-C Charging Cable,1.0,11.95,09/01/19 19:03,"125 5th St, Atlanta, GA 30301",September
248156.0,34in Ultrawide Monitor,1.0,379.99,09/13/19 14:59,"469 12th St, Los Angeles, CA 90001",September
248157.0,Lightning Charging Cable,1.0,14.95,09/07/19 09:59,"773 Johnson St, Portland, ME 04101",September
248158.0,Lightning Charging Cable,1.0,14.95,09/02/19 14:16,"682 Sunset St, Los Angeles, CA 90001",September
248159.0,Vareebadd Phone,1.0,400.0,09/06/19 16:45,"664 Wilson St, New York City, NY 10001",September
248160.0,Wired Headphones,1.0,11.99,09/01/19 22:03,"446 9th St, San Francisco, CA 94016",September
248161.0,USB-C Charging Cable,1.0,11.95,09/24/19 16:26,"439 Spruce St, San Francisco, CA 94016",September
248162.0,AAA Batteries (4-pack),3.0,2.99,09/14/19 12:52,"439 Walnut St, Seattle, WA 98101",September
248163.0,USB-C Charging Cable,1.0,11.95,09/25/19 12:32,"41 North St, Portland, OR 97035",September
248164.0,27in FHD Monitor,1.0,149.99,09/12/19 15:57,"88 9th St, San Francisco, CA 94016",September
248165.0,Lightning Charging Cable,1.0,14.95,09/15/19 12:42,"585 Adams St, Atlanta, GA 30301",September
248166.0,Apple Airpods Headphones,1.0,150.0,09/04/19 14:59,"21 9th St, Boston, MA 02215",September
248167.0,Google Phone,1.0,600.0,09/02/19 18:52,"711 Forest St, San Francisco, CA 94016",September
248168.0,USB-C Charging Cable,1.0,11.95,09/30/19 18:59,"219 Hickory St, San Francisco, CA 94016",September
248169.0,20in Monitor,1.0,109.99,09/24/19 19:40,"140 Ridge St, San Francisco, CA 94016",September
248170.0,AAA Batteries (4-pack),1.0,2.99,09/04/19 02:01,"857 Main St, Boston, MA 02215",September
248171.0,USB-C Charging Cable,1.0,11.95,09/05/19 15:06,"705 Hill St, New York City, NY 10001",September
248171.0,USB-C Charging Cable,1.0,11.95,09/05/19 15:06,"705 Hill St, New York City, NY 10001",September
248172.0,Wired Headphones,1.0,11.99,09/13/19 16:49,"820 Hill St, Boston, MA 02215",September
248173.0,Apple Airpods Headphones,1.0,150.0,09/14/19 20:47,"789 Lake St, Atlanta, GA 30301",September
248174.0,Bose SoundSport Headphones,1.0,99.99,09/17/19 22:57,"385 Washington St, Dallas, TX 75001",September
248175.0,iPhone,1.0,700.0,09/08/19 13:58,"736 4th St, Austin, TX 73301",September
248176.0,AA Batteries (4-pack),2.0,3.84,09/12/19 13:18,"177 Sunset St, San Francisco, CA 94016",September
248177.0,USB-C Charging Cable,1.0,11.95,09/24/19 20:36,"452 Adams St, San Francisco, CA 94016",September
248178.0,Apple Airpods Headphones,1.0,150.0,09/03/19 21:52,"725 Jefferson St, Los Angeles, CA 90001",September
248179.0,27in FHD Monitor,1.0,149.99,09/13/19 15:06,"510 Hickory St, New York City, NY 10001",September
248180.0,USB-C Charging Cable,1.0,11.95,09/28/19 15:52,"99 Ridge St, New York City, NY 10001",September
248181.0,Apple Airpods Headphones,1.0,150.0,09/08/19 12:40,"81 Spruce St, New York City, NY 10001",September
248182.0,Apple Airpods Headphones,1.0,150.0,09/15/19 13:03,"950 West St, New York City, NY 10001",September
248183.0,34in Ultrawide Monitor,1.0,379.99,09/18/19 17:47,"968 Ridge St, San Francisco, CA 94016",September
248184.0,AA Batteries (4-pack),1.0,3.84,09/07/19 11:23,"948 Main St, New York City, NY 10001",September
248185.0,34in Ultrawide Monitor,1.0,379.99,09/17/19 15:10,"967 Center St, New York City, NY 10001",September
248186.0,USB-C Charging Cable,1.0,11.95,09/05/19 13:53,"318 Cherry St, Seattle, WA 98101",September
248187.0,AAA Batteries (4-pack),3.0,2.99,09/07/19 23:31,"173 Elm St, Los Angeles, CA 90001",September
248188.0,Apple Airpods Headphones,1.0,150.0,09/08/19 22:17,"136 12th St, San Francisco, CA 94016",September
248189.0,Google Phone,1.0,600.0,09/14/19 12:45,"726 8th St, San Francisco, CA 94016",September
248190.0,Bose SoundSport Headphones,1.0,99.99,09/24/19 21:47,"350 Lincoln St, New York City, NY 10001",September
248191.0,AAA Batteries (4-pack),1.0,2.99,09/22/19 11:25,"446 2nd St, San Francisco, CA 94016",September
248192.0,AAA Batteries (4-pack),2.0,2.99,09/21/19 09:16,"444 North St, Austin, TX 73301",September
248193.0,USB-C Charging Cable,1.0,11.95,09/05/19 00:40,"867 Hill St, San Francisco, CA 94016",September
248194.0,20in Monitor,1.0,109.99,09/29/19 20:50,"519 Cherry St, Dallas, TX 75001",September
248195.0,ThinkPad Laptop,1.0,999.99,09/10/19 23:29,"631 6th St, Dallas, TX 75001",September
248196.0,Lightning Charging Cable,1.0,14.95,09/29/19 21:56,"608 Spruce St, Dallas, TX 75001",September
248197.0,Apple Airpods Headphones,1.0,150.0,09/02/19 19:39,"339 Highland St, Portland, OR 97035",September
248198.0,AAA Batteries (4-pack),1.0,2.99,09/10/19 00:06,"200 Wilson St, Portland, OR 97035",September
